"key","year","type","emailed","downloaded","reply_received","data_sent","data_available","n_results","data_complete","analysis_clear","reproduced","code_available"
504,2011,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,3,0,0,0,1
505,2014,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
506,1987,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
507,1993,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
508,1997,"nonhuman experimental  ",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
509,2017,"nonhuman observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
510,2017,"human experimental  ",TRUE,TRUE,TRUE,FALSE,TRUE,4,0,0,0,0
511,1996,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
512,2003,"nonhuman observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
513,2004,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
514,2006,"nonhuman observational  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
515,2010,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
516,2012,"nonhuman observational  ",TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA
517,2012,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
518,2013,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
519,2013,"nonhuman experimental  ",TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA
520,2013,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
521,2014,"nonhuman observational  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
522,2014,"human experimental  ",TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA
523,2015,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
524,2015,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
525,2017,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
526,2005,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
527,1990,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
528,2000,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
529,2007,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0,0,1
530,1993,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
